,transaction_id,product_id,customer_id,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,tenure,DOB_year,DOB_month,DOB_day,DOB_day_of_week,transaction_date_year,transaction_date_month,transaction_date_day,transaction_date_day_of_week,owns_car_Yes,deceased_indicator_Y,online_order_1.0,order_status_Cancelled
0,1,2,2950,4,3,3,2,71.49,53.62,41245.0,1,19.0,156,2,2,10.0,1955,1,11,1,1970,1,1,3,True,False,False,False
1,2,3,3120,5,3,3,1,2091.47,388.92,41701.0,0,89.0,42,3,2,10.0,1979,2,4,6,1970,1,1,3,True,False,True,False
2,3,37,402,3,3,2,2,1793.43,248.82,36361.0,1,9.0,57,8,0,22.0,1977,6,3,4,1970,1,1,3,False,False,False,False
3,4,88,3135,2,3,3,2,1198.46,381.1,36145.0,1,83.0,169,2,2,16.0,1962,1,14,6,1970,1,1,3,False,False,False,False
4,5,78,787,0,3,3,1,1765.3,709.48,42226.0,0,29.0,106,8,0,2.0,1996,12,15,6,1970,1,1,3,True,False,True,False
5,6,25,2339,0,2,3,2,1538.99,829.65,39031.0,1,3.0,189,7,0,16.0,1958,12,28,6,1970,1,1,3,True,False,True,False
6,7,22,1542,6,3,3,2,60.34,45.26,34165.0,1,56.0,74,3,2,12.0,1978,7,27,3,1970,1,1,3,True,False,True,False
7,8,15,2459,6,3,3,2,1292.84,13.44,39915.0,0,67.0,132,5,1,18.0,1986,1,10,4,1970,1,1,3,False,False,False,False
8,9,67,1305,4,3,3,1,1071.23,380.74,33455.0,1,97.0,71,2,1,6.0,1970,3,1,6,1970,1,1,3,True,False,False,False
9,10,12,3262,6,3,3,2,1231.15,161.6,38216.0,1,65.0,120,1,2,12.0,1959,10,14,2,1970,1,1,3,False,False,True,False
10,11,5,1986,5,0,2,2,574.64,459.71,40784.0,0,53.0,106,8,2,16.0,1981,12,30,2,1970,1,1,3,False,False,False,False
11,12,61,2783,3,3,2,2,71.16,56.93,42172.0,1,14.0,147,8,0,7.0,1978,8,24,3,1970,1,1,3,True,False,True,False
12,13,35,1243,5,3,2,2,1057.51,154.4,34527.0,1,73.0,137,8,2,8.0,1953,8,9,6,1970,1,1,3,False,False,True,False
